system:index,LULC,NDVI,SMI,TRI,TWI,aspect,curvature,elevation,geology,rainfall,slope,soil,.geo
2,30,0.2212318744179859,0.2809619903564453,31.218861029035786,8.16959036860368,162.6295623779297,-2.0,4026,0,1241.5164601802826,50.294071197509766,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,10,0.7296206618240516,0.22956010699272156,15.283332323598714,6.636173131248436,250.51651000976562,32.0,912,0,2002.0951527357101,37.83086013793945,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,10,0.7164497960769082,0.22970852255821228,3.8618104882187647,6.049153610308188,61.60335159301758,-13.0,455,0,1711.2629806175828,9.658758163452148,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,10,0.7504950495049505,0.34962740540504456,44.112930273147605,4.884750750105036,57.85727310180664,-43.0,2306,0,972.2881506383419,57.20085525512695,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,10,0.6188249049985385,0.26971158385276794,14.535609743554483,3.2895296236319034,290.64910888671875,20.0,2872,0,1506.5930155813694,32.727073669433594,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,20,0.5264383106085799,0.29555433988571167,19.461896929607697,4.40999512554888,209.2632598876953,10.0,1421,0,1634.1460641622543,38.586360931396484,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,40,0.45654397558084786,0.1518549770116806,0.6666666666666666,4.016441494463067,270.0,-3.0,241,0,1266.9055114090443,1.0683085918426514,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,10,0.50725213590304,0.3096419870853424,7.631966560476004,3.0928023363081865,200.3531036376953,-59.0,1217,0,1790.3991233706474,23.34710693359375,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,10,0.5607808340727596,0.38005125522613525,16.73615145223079,3.859083464974354,171.55545043945312,28.0,1748,0,974.4433473348618,32.547752380371094,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,60,0.31224841863139735,0.3356887102127075,14.189197769195175,3.7563868535059592,156.58566284179688,54.0,2076,0,1123.7054339647293,29.44436264038086,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,10,0.7780458383594693,0.3237932622432709,17.13994684290992,4.598233778003083,59.865806579589844,9.0,1006,0,1224.8203130960464,35.35136032104492,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,100,-0.03971639062759652,0.31403353810310364,6.716480559869962,0.9984758122233779,229.22113037109375,-24.0,5112,0,721.6355078965425,20.39348602294922,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,10,0.5513981090323878,0.27884820103645325,21.255064755906478,-1.8154050130162989,172.9394073486328,-36.0,1611,0,1329.339781999588,42.409889221191406,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,10,0.628976377952756,0.3214123249053955,8.89166623275378,5.20540824560401,18.85237693786621,-20.0,2164,0,1524.6745894551277,16.214000701904297,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,30,0.3615279672578445,0.30736735463142395,15.762120556715853,0.6827221870966987,176.69091796875,21.0,2236,0,1313.9159620553255,32.96712875366211,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,10,0.8124333925399645,0.34277647733688354,5.691665988796877,4.919267115171216,34.09862518310547,7.0,2195,0,1506.5930155813694,13.201987266540527,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,40,0.4776748104465038,0.3317665159702301,7.680342070565326,3.5314802740150695,37.794979095458984,44.0,1450,0,1446.1449781432748,13.810897827148438,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,40,0.4927494698228922,0.14866332709789276,0.7370277311891138,2.770930620532936,130.98245239257812,-1.0,234,0,1371.6815804243088,1.4139420986175537,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,100,0.061745794063243195,0.2848442494869232,14.491376746189438,4.785265367306303,121.749267578125,-36.0,4521,0,1520.1269463002682,28.975067138671875,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,40,0.3299971404060623,0.24554917216300964,0.49690399500284566,2.8046095544299448,131.1693878173828,4.0,223,0,1276.2456760081259,1.4086616039276123,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,30,-0.03619497999272463,0.3195677101612091,25.403411844343534,4.108182951504297,9.652710914611816,66.0,4228,0,793.4595896303654,48.152549743652344,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,10,0.801174168297456,0.33698558807373047,18.50525450904268,2.697947970950877,101.47969055175781,6.0,1012,0,1215.1347668473722,39.123931884765625,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,30,0.4534433406297356,0.31496497988700867,13.03366959876552,3.6175438841544927,143.263671875,-28.0,1719,0,1834.0993834733963,29.491830825805664,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,10,0.7922345075854975,0.3096419870853424,14.512659437562203,6.2250982626725,215.38526916503906,-2.0,1746,0,1613.1215053796768,31.613218307495117,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,10,0.8263603385731559,0.31601452827453613,16.18031115695821,5.157124305863084,331.1349792480469,5.0,2446,0,1545.4262565374374,35.084285736083984,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,70,0.02151742026764134,0.267240434885025,14.616918997804913,4.825065030628961,185.87939453125,10.0,4109,0,1744.4840540885925,28.955522537231445,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,30,0.49709277829274456,0.3178512454032898,11.53737886658452,7.846699808536014,77.85852813720703,3.0,1146,0,1590.3627172708511,28.31380844116211,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,30,0.31674138197557583,0.2623428702354431,34.64564889930955,5.454956238707487,103.39486694335938,26.0,1655,0,1470.9903491735458,56.956268310546875,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,10,0.6080084299262382,0.28867295384407043,22.68027913690718,5.087981434775459,47.31130599975586,20.0,2452,0,994.4320496320724,47.68120574951172,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,10,0.8273381294964028,0.342814177274704,18.025359365269185,2.2266385922480514,280.24029541015625,58.0,1454,0,1293.7676347494125,42.31998825073242,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,30,0.15942028985507245,0.31038886308670044,24.596496789618712,4.54361582963958,105.5599365234375,-19.0,3983,0,702.5813279151917,54.22819519042969,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
